,text,class
285,"Empieza la temporada 12 de cuarto milenio. Nuevos misterios interesantes....  @navedelmisterio @carmenporter_
","P
"
286,"@Los7Reinos @juegotronosplus @HieloyFuegoPod @HieloyFuegoWiki Si es así el spoiler, me va a emocionar ver esa localización en concreto 
","N
"
287,"@NachoMarchal y que lo digas. Un día ves una meta inalcanzable y al poco estás luchando por la siguiente 
","NEU
"
288,"@Anpekora nope. Estoy enganchado a JustEat, que alguien me desenganche, pls   
","N
"
289,"Acabo de perder un vídeo de gabri y yo en la historia de instagram que era genial 
","P
"
290,"En la bañera ahogada sueño hecho realidad pls 
","N
"
291,"Tan ridículo como que lleguéis a un movimiento que no es vuestro y tratéis de hacerlo todo a vuestro puñetero gusto 
","N
"
292,"hoy es mi último día de vacaciones y lo más emocionante de mi día ha sido hacer el puzzle de sunggyu 
","N
"
293,"@Mehdi_FCB10 he llorado, me había quedado a medias con el último capítulo de una serie y paaaaaaam qué sufrimiento en latino 
","N
"
294,"Yo quería que Callie y Wyatt siguiesen juntos 
","NONE
"
295,"Lo peor es que yo me marché cuando @olvihormigos se empezó a relacionar con la gente de la disco, yo quería tomarme una copita con ella 
","N
"
296,"@riosvazquezalex sisi, xa lle vexo a cara mañan no examen 
","N
"
297,"@arita_para Por supuesto, y lo repetiríamos hasta la saciedad jajaja 
","P
"
298,"@abelicc @PabVis ""Prodemocracia"" suena raro cuando quemas medios de comunicación 
","P
"
299,"@Cinema_Esencial @rafa_morata Un abrazo y feliz domingo. 
","P
"
300,"@mtvspain debería liarla en el @dcodefest con un stand que proyectara desde el público a las pantallas del concierto  #MTVDcode2016.
","NONE
"
301,"Os acordáis cuándo decía ""bighit podrías sacar una película o algo explicándolo todo"" Gracias 
","NONE
"
302,"@felatriz88ATV Lo dicho, contenido erótico y no sexual.. y me encanta... 
","NEU
"
303,"@Lidia_Linoche Estoy en plan aguafiestas. Así que me voy a reventar otra fiesta 
","N
"
304,"Y claro, como ella me ve fea y gorda pues lo que hay, da gusto vivir con alguien así 
","N
"
305,"@AbadesaLPD todas las críticas son calificativos,  nadie argumenta o desmonta nada.  Eso sí que es curioso 
","N
"
306,"Uníos a él en vez de venir a dar por culo a las feministas si tanto OS JODE nuestro movimiento 
","N
"
307,"@_Missmovin0n creo que no entiendo bien lo que significa disociación, me lo puede explicar alguien porfa? 
","N
"
308,"Y ya estoy en ese momento en el que estoy suscrito a los boletines de 12 embajadas y sus correspondientes Agencias de Investigación 
","NONE
"
309,"Me siento tan indefensa cuándo me pinto las uñas de los pies y las manos 
","N
"
310,"@toninhoamunt El concepto ""para que A ocurra han de darse B y C"" pensaba que estaba explicado en el tuit... 
","NONE
"
311,"@JoseOrtegaWayne @Fifalson lo tiene fijado tío, no te pongas celoso 
","N
"
312,"Increíble pero cierto, hoy hay 2º vídeo en el 1º canal  poco a poco volvemos a la actividad, después de un descanso tengo muchas ganas 
","P
"
313,"@rogermp25 mándame la foto que quieras hacerte por privado y te la mando, va... 
","P
"
314,"@LorenaRemacha Muchas gracias Lorena !Que pases una tarde fantástica  #lapsopay
","P
"
315,"@kaputsky Aunque todos mis tatuajes son peques porque no tengo dinero para tatuajes mayores 
","N
"
316,"muy preocupada porque no me crecen mas uñas desde que intenté pegar las postizas con superglu en vez de con el pegamento cosmético 
","N
"
317,"Hoy he visto Cazafantasmas por fin. Aunque no ha sido un peliculón (para mi), me ha mantenido entretenido las dos horas que dura 
","N
"
318,"Tarta pintada con pigmentos comestibles!  by belensalinasart  Cuando los productos son 100%… https://t.co/mLH9U7czGd
","N
"
319,"@HailHomulilly conozco a la que lleva la publi de myanimelist. Cenamos juntos en Tokyo 
","P
"
320,"Me voy a las 6 a Madrid y me esperan 6 horitas en un autobus, seguramnete lleno de gente, porque mi suerte funciona así 
","N
"
321,"Estáis por aquí para publicar el preguntas y respuestas del especial 70k? Manifestarse locos 
","N
"
322,"@UncoloredSoul el azul es demasiado pero te entiendo   A ver que tal te queda el rojo ^^
","N
"
323,"Me veía hermosa con ese septum  Me lo voy a poner otra vez se que os suda la polla pero pa eso esta twitter https://t.co/nl7gGDdBu5
","NEU
"
324,"Mañana me sacan sangre y tengo que ir en ayunas. Dadme ánimos ante esta situación tan heavy que me está tocando vivir 
","N
"
325,"@anass_001 Yo mismo quiero hacerlo pero muchas veces me da pereza y me enfado conmigo mismo 
","N
"
326,"@zoleada Joder te has cambiado demasiado el avatar y no sabia quien eras 
","N
"
327,"@foosel @akirasan @obs_tecnologica Gina!!! Qué bueno es tu español!!! 
","N
"
328,"@ruestern Siempre puedes levantar la vista y ver el cielo azul y rascacielos. 
","P
"
329,"@wanturtrophy yo ya no como carne así que eso  y oye pruébalo que aunque sea comida de otakus est mu rico
","N
"
330,"@lucas_egea92 Que bolsa tan poco ergonómica, ahi solo cabe un pepino del mercadona...ah que no es para ese tipo de pepinos no?...oki  jaja
","NONE
"
331,"@anagodoylopez - Mandadme números y digo si me lío - 17: Jajajajaja te considero un buen amigo  Esos 17 son los verdaderos mártires.
","P
"
332,"@Elsolesamarillo @pablofdezfdez la pasta estuvo bloqueada porque la Diputación estaba bloqueada, crack. Hay que saber de lo que se habla 
","N
"
333,"@SeleneVirus Un poquito. Pero es normal porque es oscuro.   Anyways, sigue viéndosete un poquito pelirrojo. ^^ Reflejos o algo así. 
","N
"
334,"@leinad69b6 jajajaja nope  Ya te contaré. (Te tengo que devolver la camiseta).
","N
"
335,"@efecseebeck @wirequilibriste Es imposible resistirse a semejante himno, déjate llevar 
","N
"
336,"Algo bueno que le puedo encontrar al incendio de Villava es que esta tan cerca del Instituto... seria una pena que se quemase... 
","N
"
337,"@GranadaSound @deFestivales he informado por mensaje directo de una duda y no me contestan 
","N
"
338,"@ReikoAyanami tu te planteas comprar gráfica. Yo si lo planteo tengo que comprar todo, mi pc es un venerable anciano 
","NONE
"
339,"@albertpawer JAAJAJAJAJAJJAJA desgraciao que es porque ahora no salen en orden cronologico y se pierden las fotos en la muchedumbre 
","NONE
"
340,"Posiblemente lo que más la mente es no tener una buena gráfica para este juegazo  ayyy
","NEU
"
341,"@jujiles Si no te explicas algo mejor...  @fundacomunes @pblcarmona @GanemosMadrid
","P
"
342,"@danimonti77 Que cabrito   y te quito años  @AngelBergada23 perdónale porque no sabe lo que dice... o si ? Abrazo a los dos 
","P
"
343,"@RangoSoto ya  llevo mas d un mes y sumo y sigo... Mi paciencia se axaba 
","N
"
344,"@jc_pblanco sep, mi familia es MUY lectora y mi círculo de amistades también 
","P
"
345,"@ruestern A mí ponme lluvia y quítame grados. 
","N
"
346,"@CahBlack16 nooo  que esta tarde voy y te doy mimicos y esas cosas 
","P
"
347,"Mi drama es que ahora me sale primero @taracanto en vez de @/BlasCanto y me confundo bc costumbre de dar al primer user 
","N
"
348,"@kurodasxce pe-pero tu también quieres conocer a la crush norkoreana y lo sabes 
","N
"
349,"@Pabblete Es que me gusta muchísimo... Pero me da un palo enorme pagar... Que ya lo hice (Y mucho) con WoW ... 
","P
"
350,"@SolidSnakeES ¿Está capado el online de Mario Maker 3DS? 
","N
"
351,"@GermanIdoate Esa lucha constante a la hora de hacer el control... 
","N
"
352,"@gamusino Negativo. El de Mapfre es el puente 25 de Julio de Lisboa. 
","N
"
353,"Nosotras somos muy interesantes, sí. Y no tenemos abuela @soyalt_es   ¡Os echamos de menos la otra semana! 
","NEU
"
354,"Echo de menos las barras libres del Tángara.. aunque después tuviera las resacas del siglo 
","N
"
355,"Os juro que a veces hacer el encaje pah un realista más bien lo que hace es joderme la vida 
","N
"
356,"@VCForever lo malo que el palmarés de los que se han ido era mientras jugaban en el @valenciacf 
","N
"
357,"@elescritorfant no había visto tu respuesta!Sí, sí, sé que es correcto, lo consulté , pero es poco habitual, llamativo, algo friki... no? 
","N
"
358,"@sophiaskatic Quien es más fuerte Sophia Bush o Superman? 
","N
"
359,"@knbaraldi ¡¡Gracias a ti!! (Me pondré doblada de coger apuntes 
","P
"
360,"@ReQueFer una de las que tiene mejores indicadoras, pero que es totalmente privada. Y no abramos esa puerta sin debate previo 
","N
"
361,"Nunca me has decepcionado como persona. Eres alguien genial, te quiero mucho y ojalá vernos más
","P
"
362,"@elsoldesnudo mira a ver si te regalan alguna otra punzada por ser un buen cliente 
","P
"
363,"@LaVozDeLarra @ganyet Muy pero que muy bueno. Lo dejaron solo al pobre chaval en una batalla contra Afganistán 
","N
"
364,"@mcadry0 luchemos por un pitufo verde, por la diversidad de los pitufos 
","NEU
"
365,"@PXJarke lol pero si es igual que el bo3 menos mal que me va a salir gratis y con season pass jajaj gracias btw por el vine 
","P
"
366,"Lo llevo persiguiendo desde que hiciste el primero y nunca me toca  @BlasCanto  #FollowPARTY
","N
"
367,"@mariaenlalluvia El horario para repartidores me parece suficiente, el problema es que no hay control y todos abusan 
","N
"
368,"@cerealesdeleche es súper triste porque entonces siempre se está amargada 
","N
"
369,"así que paso ojalá me salga mañana bien griego 
","P
"
370,"Se me han vuelto a estropear los auriculares de verdad cómo lo odio, sin auriculares no vivo 
","N
"
371,"@DivulgaDMNews @DMenEcuador no ! Según UMMéxico, ese no será el nuevo single 
","P
"
372,"@juananguerrero Léete el cómic. Está bien y acaba rápido 
","P
"
373,"P sí que miro las confesiones del curiouscat pero no puedo responderlas. Desde aquí gracias, tío 
","N
"
374,"Que GUSTAZO me da que España le gane a Bélgica en su puta CASA y encima con goles de un CANARIO ! 
","N
"
375,"@quiquepeinado los madrileños y vuestra PUTA agua del grifo...estáis más orgullosos que de la Puerta de Alcalá 
","N
"
376,"@DianaMenendez97 tengo un examen pero me cago como si tuviera 58  graxias bb mañana veras mi cara de felicidad en el mejor estado 💖
","N
"
377,"@victorbnzl17 llego a saber que zafreo es igual a cerveceo y voy 
","N
"
378,"@almudenadiazact hombre no le pidas una resolución HD a mi pulso viejuno y con la cámara del movil  Pero es pequeñita y chula 
","N
"
379,"Tengo que hacer resumen de sociales de 5 temas y todos los ejercicios de 4 temas  Me suicido ya?
","N
"
380,"bienvenido septiembre, mes de vuelta a las rutinas y de nuevos propositos 
","P
"
381,"@YelpMadrid @BeaRomeroZ @Azoteacirculo Esa es genial... súper chula y menudas vistas 
","P
"
382,"Anoche me cabree y me fui a dormir sin felicitarlos    Un premio a mi gran persona 
","N
"
383,"STREAM ON! Pongo cam a los 100 viewers Solo Q mañanero ! @eMonkeyzClub  Se agradecen Rts  https://t.co/ZeFb3Pr6MT
","N
"
384,"@AlbaRealkiddys @Target imagino que no, pero molaría que sí lo pusiera, aunque Batman tiene mayordomo claro... 
","NEU
"
385,"@MaitaneSegurola y los 5 mejores pintxos de Lo Viejo. ¡Nuestro bacalao con anchoa y rodaja de tomate!  #AtariSS  https://t.co/jHIxxv4Uyz
","P
"
386,"Volvemos con energía y carta nueva  #Elche #ColumpioBar https://t.co/9zwgh0fkrQ
","P
"
387,"@prapletas ya que te veo hypeado, hablame por MD y a lo mejor puedo hacer algo 
","P
"
388,"@_AndresGomez_ Asegúrate de que no es cuestión de tu dispositivo o conexión a internet. Si es es así, envíanos un mail a info@wuolah.com 
","NONE
"
389,"#BienvenidoSeptiembre y la pereza que me da pensar que el lunes ya tengo mi primer examen de la uni 
","P
"
390,"@LadyOrapma Uy! que pronto, a mi me toca el martes que viene! buah, no voy a pillar ningún grupo bueno 
","P
"
391,"Primer día de adaptación, superado!  #esllaut  @AVCanPastilla https://t.co/Z2zBxCN6vv
","P
"
392,"Sin duda @2y6son8 fue una experiencia preciosa  @PauAlmuni @papasblogueros Y habrá más!
","N
"
393,"Cuantas veces me habré arrepentido de no haber saludado a alguien en bote 
","N
"
394,"@MichaelPerrinow @Dandastur La pena es que no incluya a modo de extra el original. Con el de consola te lo regalaban con el preorder 
","N
"
395,"Aveces pienso que podría pintarme las uñas de otro color que no fuese negro pero esq solo me gustan negras 
","P
"
396,"@the_heruman Slides preparadas !! (al menos la primera versión.. 
","P
"
397,"@lalolaseva29 Sí, estamos volviendo a bajar los brazos  Abandonando las plazas ocupadas de ilusión como abandonamos después del 15M.
","P
"
398,"@angeltxele @DAlvarez1976 @LuisCabcav qué bar y en qué calle está? Seguro que he estado alguna vez 
","N
"
399,"@drea_aries es como muy incómodo hacer fotos mientras la otra persona cena 
","P
"
400,"@reyweasley Han sido votados mayoritariamente, son el reflejo de sus propios votantes, se sienten representados por ellos 
","N
"
401,"@_nuieta_ @binauralblog ay ay. Bueno creo que vendrán a Barna en 2017 por lo que no será una oportunidad perdida 
","N
"
402,"En fin, ya veis lo duro que es comer solo hojas, la mala pinta que tiene y lo mal que sabe 
","N
"
403,"@noaserrano así es la vida  Quieres asumirlo yaaaaaaaa pls ❤️
","N
"
404,"@angeltxele @DAlvarez1976 @LuisCabcav gggg pues habrá que hacer algo conmemorativo en tu bar 
","N
"
405,"@VanessaSelbst @Cristiano No le enseñes, que lo aprenda como lo hicimos los demás! Yo también queria tu coaching... 
","N
"
406,"@GallagherAron Marjorie no tenía merecía eso  y Tommen tampoco (aunque Tommen fue suicidio,but shit happens)
","NONE
"
407,"@Maria8PB muchas gracias mariaa! Tenlo claro que te avisaré!  un beso!!
","P
"
408,"@MarcoSlipknot05 relaja sonyer, que ves juegos de verdad y te nos pones nervioso   @MartaSOrtigosa
","N
"
409,"@21NoticiasCom Grazas por difundir a nosa campaña 
","N
"
410,"Hoy queremos felicitar en su cumpleaños a una de las personas más especiales que el #pádel ha cruzado en nuestros camino @AntonioLSalas 
","N
"
411,"@auronplay Que casualidad que la primera llamada que le hacen al ""arruinado"" la coge,pero las otras no.No será que es el mismo. Un abrazo 
","N
"
412,"@andrea10993 gracias amiga llevo ya 1 mes liada toy cansada 
","N
"
413,"Quiero hacerme las mechas rubio claro ya 
","P
"
414,"@rovegah pues sí. y algo podríamos aprender los hombres sobre la visión y los tempos femenino-fantástico-medievales 
","N
"
415,"La segunda parte del tuit anterior me lo he inventado 
","P
"
416,"MCs ¿Queréis un header como los que hicimos ayer? Háblanos, colabora y échate un free para nosotros y será vuestro. 😎😘 Se agradece RT 
","N
"
417,"De verdad hay que esperar hasta el verano que viene para ver la nueva temporada de juego de tronos?? Que habremos hecho para merecer esto 
","N
"
418,"Un #TT que me saca una sonrisa en la vuelta de vacaciones   #BackToHogwarts me trae muy buenos recuerdos  https://t.co/Q6RkZyN4Gv
","N
"
419,"@weezermij @CinebaratoCom gracias por lo primero. Cada día intentando mejorar 
","P
"
420,"Venezuela quiere cambio. Esa mala maña de no dar vuelto no se aguanta. Chao 
","N
"
421,"Quiero ir al Carrefour a por más sobres de Star wars 
","N
"
422,"@Alvaro_Manzanas es mi libro favorito, me alegro de que te guste 
","P
"
423,"@josebarreiro9 Cuando he visto lo del Super Mario World me he quedado un poco loco 
","N
"
424,"Hola qué tal, yo esta noche me tengo que curar sola los puntos y soy muy inútil para quitarme incluso el apósito  Todo bien.
","N
"
425,"ojala alguien me dibujada con un vestido muy bonito 
","N
"
426,"@GodHatesConcha lo que transmites y das a ver es que eres una chica genial y algo loca! Haha 
","P
"
427,"@NeuroticCritic dejas al novio y a los dos días ya estas con otro.  Y yo soltero desde el 96. La vida es demasiado injusta conmigo 
","N
"
428,"No me puedo creer que se haya acabado uno de los mejores agostos de mi vida 
","N
"
429,"Hablando en serio, como no apruebe matemáticas me tiro desde la ventana de mi cuarto, que es un décimo y así no sobrevivo 
","N
"
430,"@GeronimoFL En vez de perseguir a corruptos y defraudadores, pretenden encarcelar a quienes cuestionan al poder con unos cuentos tuits 
","P
"
431,"@ElJardindeJunio @PilarJerico las palabras y las emociones que generan son muy útiles para generar cambios 
","NEU
"
432,"@laSextaTV @jalisdelaserna ole Jalis!  deseando verlo! Abrazo grande! 
","P
"
433,"@Estela3D @MarIgones Cuando volvéis a las andadas? Queremos videos yaaaa!! 
","NONE
"
434,"@SwaggerAsdfgh Si que podria pero me iria fatal en dos asignaturas que son griego y latin ya que en mi vida he dado eso 
","N
"
435,"Din Don ...  #BienvenidoSeptiembre para todos !!!  Especialmente si van de buen rollo, #YaTuSabe ! #FollowThursday    #FelizJueves
","P
"
436,"@_nsbeca pensaba que los únicos pringados éramos los de farma de la USAL 
","P
"
437,"q los GP de La Caixa (y otros) manipulen el Ibex es una bendició gracias a ellos podemos arrañar alg son auténticos PARDILLOS 
","P
"
438,"@subiendoelpan Totalmente accidental. Vaaaale, te creo. Por esta vez 
","N
"
439,"Acabo de soñar una cosa muy rara y pues 
","N
"
440,"@MYNAME_SPAIN  Vendo 2 Tickets ULTIMATE VIP, no podemos ir... el precio será menor que en tienda, no quiero malgastarlos!!! 
","N
"
441,"Que solo quedan  24 días  para la @Japan_Weekend más  grande que se a celebrado nunca 
","N
"
442,"@JLMaireles Compañero, gracias por la mención! Espero que tengas un feliz día y que nos encontremos por la Casa o la Fundación pronto! 
","P
"
443,"@NetoEmprendedor de hecho nada más leerlo lo desactivé en Sumome para dispositivos móviles. A mí que no me busquen!! 
","NEU
"
444,"Quiero entrar en algún grupo de WhatsApp feminista o lgtbfriendly 
","N
"
445,"@CodereApuestas Podrian hacer como en las quinielas de futbol, cobrar lo que hayas acertado en Acumuladas sobretodo. 
","P
"
446,"@Karmazul Venid y queredme, malditos. Estoy falta de mimos 
","N
"
447,"@yoideparted Pásalo bien chul yo no voy a poder ir al final 
","P
"
448,"El descarado afán de La Caixa por empujar las cotizaciones les está delatando. Es la pauta del 2 de Mayo....Kung Fu 
","P
"
449,"@jmanzanore @beatricepirate Seguro que sí, es una sala pequeña. 
","NONE
"
450,"pobrecitxs, siempre están acostumbrados a follar poco y luego estoy yo 
","N
"
451,"q triste, ahora entiendo a mis amigos con el tema del sexo 
","N
"
452,"@sarsaparrillas ya lo sé  te tengo que contar mi vida que ahora hay muchas cosas nuevas y y y y
","N
"
453,"Te hago un favor, te dejo criticarme porque se que no tienes cosas mejores en tu vida que hacer. 
","N
"
454,"lo único que no me gusta de twitter es que no hay espacio suficiente para poner los créditos de las fotos y encima decir algo 
","P
"
455,"y aquí falt que a medida que san Gil iba oficiando la misa el pecado se fue borrando 
","N
"
456,"No puedo estar más orgullosa y contenta si es así @pardodevera amiga 
","N
"
457,"@Kartoffelmensch porque normalmente los youtubers son voceros con espasmos faciales incontrolados 
","N
"
458,"La próxima vez que te recortes la barba te despido de socio. @Carlos12Javier 🙁🌴 
","P
"
459,"@coldmmnts teniais razon iba a caer pero sólo un poquito 
","N
"
460,"@franalonso @SelenePetalos @luadeazucre ¡Qué bonito que nos recomiende un padre! Eu non falo moito o galego pero GRACIÑAS 
","P
"
461,"@RVGE_ANUBIS si, y ojalá la viera más a diario, te echo de menos 
","N
"
462,"Indispensables para mañan – Estuche – Calculadora – Vaselina 
","N
"
463,"@Dmytro_96  -Cinefilo -Comunista -A ver cuando vienes tú a Coruña a verme  -Tu gatito 😍😍
","N
"
464,"Despierta desde las 9 por los nervios osea  relajate de una maldita vez Isabel.
","NEU
"
465,"#Volverdevacaciones es menos duro cuando la oficina es como una vuelta a casa  @noviasalcedo
","NEU
"
466,"@Tarhod @Torllo En el mio lo tienen de mayo a octubre incluidos, ay 
","P
"
467,"Allá vamos con un nuevo mes... ¡muuuchas, muuuchas cosas nuevas este mes!  https://t.co/KArPCs4PKL
","N
"
468,"Hoy queremos felicitar por su cumpleaños a @diestropadel... ¡¡Pásalo en grande en tu dia, compañero!! 
","P
"
469,".@marcvidal @tve_tve @deliberryspain Hacen falta muchos como este! Muy grande 
","P
"
470,"@pendragoncillo Buena sesión de afotamiento! Ya me gustaría salir de safari fotográfico por la jungla tokiota... 
","N
"
471,"@15_pollypocket Nos dejamos a V por una equivocación ^^ Primero suspendió el práctico pero al final se lo sacó 
","N
"
472,"@ElenaRmsSnchz jajaja cómo nosotras por supuesto  😍💙🔥  nos vemos ya dentro de poco! #unadecine #yotradefiesta #porfavor
","P
"
473,"@ldpsincomplejos En lo relativo a la secesión mi estimado @juanrallo es un amante de las marcianadas. Pero debatir con él es entretenido 
","N
"
474,"@PlanetaDunia Como embajador de @beBee_ES, @alfredovela necesitaría una foto así  @luisfernandez @fidelmartin @marioschumacher @pjmelian
","N
"
475,"Tenemos que investir un gobierno, cada vez que vamos a elecciones los venezolanos lo pasan mal 
","N
"
476,"@Munditoanime @animesymanga @susuzomi @carrillovegal19 @Draco_LionHeart  Usted me volvió a ocurrir lo mismo 
","N
"
477,"@oscarcalvo @EGMontesano yo es que no veo la relación con la natalidad. Por aquí hay tb embarazadas. Apurando su tranquilidad... 
","P
"
478,"@Mauricio_Mejia con todas estas fotos que nos pones cualquiera no puede tener un mal día  me matas.
","P
"
479,"Trabajando con el equipo de @Juliaenlaonda para el especial del próximo jueves. Ya os adelanto que va a ser un programón! 
","N
"
480,"@Monimar97 Espero que pronto me dejan anunciar lo que tenemos preparado 
","P
"
481,"Estoy bien  Muchas gracias a aquellos que preguntais, el problema es que hoy no me dieron cita.. dijeron que imposible
","P
"
482,"@RomualdoIsla @AngelaBuquet totally agree. La frase es de Nicolás Buquet, otro representante de las nuevas generaciones 
","NEU
"
483,"Tengo tantas ideas y tantas cosas nuevas pensadas para hacer y tan pocos medios... 
","N
"
484,"@alfonsojimenez jajajaja tiene pinta más bien de que lo hicieron colombiano por el acento 
","P
"
485,"@AngusBBB Yo soy la primera que se toma todo a cachondeo, incluso a mí misma, pero esto… En fin 
","N
"
486,"Gracioso q se puedan acercar hasta los videos jaja 
","P
"
487,"Salimos @uruguaya79 para Zaragoza  fin de semana único
","N
"
488,"@visionactualve @Currice @JPelirrojo @rushsmith @YellowMellowMG felicidades chicos !!nosotros como vuestros fans estamos super orgullosos 
","P
"
489,"@CarmelaCarrillo ya pero 15 euros... Al final la pillare pero me quedo pobre ahora mismo 
","N
"
490,"Llevo dos semanas con los efectos secundarios de mi quemadura del hombro 
","P
"
491,"@BigZetaYT esque trabajas  yo quería salir de party contigo y Casega y demás pero estas currando no?
","N
"
492,"@JACKYXTREM te mande inbox al fb para que me digas de que sabor vas a querer tu regalo 
","N
"
493,"Anoche al final vi una película romántica y me quede en casa de mi prima 
","N
"
494,"@nclu13 ¡Enhorabuena! Eres el ganador del sorteo, escríbenos un mensaje privado para darte el premio 
","N
"
495,"@RaKe__L No?? Bueno pero sabes que es lo que hay que hacer no? Poner agua a hervir y coger toallas limpias!! 
","N
"
496,"@ChanqueteFest Hola de nuevo, mi amiga se puso en contacto pero seguimos sin respuesta 
","NONE
"
497,"@candriiu8 a mi me pasa igual, quiero estar con ellas pero quiero hacer muchas cosas también, y son muy poquitos díaaaas 
","N
"
498,"@aalfaro_ropero algún día me mandaras un md y me dirás cosas bonitas como te digo yo  te quiero 😳💞
","N
"
499,"@MariaIsabelDeRo vaya spoiler más gratuito para los que aún no la hemos empezado 
","N
"
500,"@ninadobrev Pero me gusta la Idea.  Ver chicas guapas y fuertes luchando en la pantalla al estilo Goku.
","P
"
501,"@elmundoes lógico, con experiencia internacional en paraisos fiscales 
","P
"
502,"Tengo un Anime de chicas luchadoras muy fuertes. No soy Akira Toriyama ni guionista de cine. Pero me gusta la Idea. 
","P
"
503,"@bono_loto Yo no te pido la luna solo pido que me toque la bonoloto, para salir de los problemas. 
","N
"
504,"@Adrimoeg Bienvenido de Arriba Sánchez jajaaa 
","N
"
505,"@el_pais @elpais_espana porque no os vais todos al paro y cobrando lo mismo q cualquier español de a pie. 
","N
"
506,"@_Miss_Donovan Laura!  Que luego te distraes de tu objetivo así 
","N
"
507,"@Cataloniawatch s que habrá terceras elecciones, no que no las habrá... está difícil la predicción 
","N
"
508,"@SelGomez_es perfecto  yo cuando pueda y reciba el dinero de la entrada donare una parte 
","P
"
509,"@pabloskiki @abersta Su madre seguro que ya te tiene hecha la ficha para cuando llegues 
","NONE
"
510,"Miradme jaja aquí haciendo la ciencia jaja  nunca lo entenderíais sois prescindibles
","P
"
511,"@david_go88 genial pues, es la primera vez que les escucho 
","P
"
512,"¿Cuándo va a estar disponible el correo.ugr? Lleva varias horas sin dejarme entrar, @CanalUGR 
","N
"
513,"@Marcenuela son los leggins esos que son como de lycra?  Quiero unos pero sólo los encuentro de talla única y mis muslos son gordis.
","N
"
514,"@pvaya @Mental_Dis0rder bueno pues ponte con el teleport a ver si se te da mejor 
","P
"
515,"El médico dice que voy estoy yendo por el buen camino, me alegro por ello  Ahora #RoadToPixel
","P
"
516,"@Padel3punto0... Increíble ver lo que mueve, torneo tras torneo, el #pádel de Menores... El futuro está asegurado!!! 
","P
"
517,"@PetruskaWTF La perrita de mi tío se murió de eso la pobre  y el perro de mi primo igual
","N
"
518,"No me acaba de matar que Nicky vuelva al futbol... Me gustó mucho su cd en solitario 
","N
"
519,"Ando pillada de tiempo y esto no me deja mandar MP, a ver cuándo podemos comentar  un besazo!
","N
"
520,"@ivanarmesto66 @GernikaTheMovie Brutal... Y al parecer los que hacen de periodistas, también siguen con su grupo de wassap un año después 
","N
"
521,"#TodosSomosCarmen29 que pena...si cuesta ""superar"" una muerte, dos debe ser horrible 
","N
"
522,"@chipimar @elmister68 tú ve comiendo por si acaso le surge algo de última hora al hombre y se retrasa... 
","N
"
523,"@Ana_Ankh Quiero verte otra vez  vuelve ya de tu cvtre pueblo.
","P
"
524,"@danielrn5 a veces son ellos los que me reportan o bloquean, jajajajaja. Un zasca mínimo se llevan! 
","N
"
525,"@juanpsanchez Mil gracias por compartir mi post, Juan Pedro 
","P
"
526,"@Jextredo MEMEO AJAJAJ Pues yo llevo.. 3 años sin dar educación física 
","N
"
527,"voy a ir al concierto de Malú en Buenos Aires a ver si así la abrazo de una puta vez 
","P
"
528,"Lo único que pido es tener porros cuando salga 
","N
"
529,"La vida hay que verla de manera optimista. Hay que luchar, hay que ser fuertes ante todo. 
","N
"
530,"@reskar @angelquintana @RiotSh4rin las de los usuarios? porque la verdad que SFV quita las ganas de jugar a los que somos mortales. 
","N
"
531,"@InmaFerragud @ambienteg a parte de que @amovens se ha portado súper bien 
","N
"
532,"#SinPelosEnLaLengua Además,la novia de luz esta buena  Que opináis de @Spursito maricon??
","P
"
533,"@Sergio_Formoso Eso sería lo más maravilloso! Después de mi 2º viaje, pensé que iría una vez más y la guerra... 
","P
"
534,"Hasta tal punto, que al comprar las entradas no hay opción de coger la VIP, pero aún así ellas por arte de magia la tienen 
","N
"
535,"por problemas de mi ruter dejare temporalmente de hacer fakes  pasare las pocas que tengo de momento  #PutaConexion 
","N
"
536,"@LuzuGames @YouTube y cuando subirás limbo? Dijiste que lo subírias. Estás explotando demasiado a pokemons Go 
","N
"
537,"Gran decisión  Gran actor y maestro de artes marciales!!! https://t.co/kFbI9PhtA3
","P
"
538,"Buenos días amigos de Facebook   ¡¡Volvemos a tener Granizados de… https://t.co/CLIkFsFIts
","P
"
539,"Vaya, con lo poco que me gusta tirar de imaginación en los exámenes. El 90% de las ocasiones son paridas 
","P
"
540,"@gracieladiter la administración pública se sirve a sí misma. Servir al ciudadano es un daño colateral 
","N
"
541,"La felicidad tiene un nombr #Tailandia  Si es tu PRIMERA VEZ, apunta estos #consejos!   https://t.co/Q0RDMHIyiV https://t.co/bJUp3f6lZa
","P
"
542,".@TuitUtil en los #FF a ... por ser la persona más amable y cariñosa. Quiero achucharte  #TuitUtil... ponéis ""amable"" 2 veces
","P
"
543,"lo he puntuado con 3.5 estrellas y me ha dolido bc tenía expectativas muy altas y me ha decepcionado un poco 
","N
"
544,"@Rociodmsp @MsVideoclap buscando la mirada perfecta Roci 
","P
"
545,".@abyssal_psycho soy la primera persona del mundo en subir al 110 con la raza de murloc warrior 
","P
"
546,"@offwestermeyer @radio3_rne clado que sí. En serio, gracias por todo lo que nos has enseñado 
","P
"
547,"@SerrantDaFoeII Lo sé y te lo agradezco de veras!  Lo mismo se aplica a la inversa y lo sabes ^^
","N
"
548,"@santiagonavajas efectivamente  , un buena píldora viral muy ilustrativa.
","P
"
